     0.000     0.182    13.167     12868267.500     0.000     0.000  2750.000      00********
     0.000  -299.835  1472.413   9787947171.541     8.520     4.606  3499.154      99   80568
     0.000  -304.605  1474.679   9951832559.915     8.532     4.611  3505.143      99   82069
     0.000  -314.145  1479.212  10280601745.260     8.525     4.630  3520.791      99   84770
     0.000  -323.684  1483.744  10610553030.314     8.552     4.638  3530.860      99   87471
     0.000  -333.224  1488.276  10941502357.951     8.581     4.646  3541.462      99   90473
     0.000  -342.763  1492.808  11273399437.855     8.606     4.655  3552.043      99   93174
     0.000  -352.303  1497.340  11606325620.114     8.634     4.663  3562.643      99   95875
     0.000  -361.842  1501.872  11940101640.701     8.657     4.672  3570.809      99   98577
     0.000  -371.382  1506.404  12274685451.139     8.686     4.685  3579.134      99  101578
     0.000  -380.921  1510.936  12609995154.287     8.707     4.695  3587.278      99  104279
     0.000  -390.461  1515.468  12946106825.597     8.731     4.705  3595.436      99  106981
     0.000  -400.000  1520.000  13282964154.520     8.759     4.719  3603.863      99  109982
     5.000     0.179    13.207     12868267.500     0.000     0.000  2750.000      00  109982
     5.000    -0.775    39.141     38604802.500     0.000     0.000  2750.000      00  109982
     5.000    -1.252    51.867     51473070.000     0.000     0.000  2750.000      00  109982
     5.000    -1.879    68.349     68387962.500     0.000     0.000  2750.000      00  109982
     5.000    -2.206    76.839     77209605.000     0.000     0.000  2750.000      00  109982
     5.000    -2.683    89.088     90077872.500     0.000     0.000  2750.000      00  109982
     5.000    -3.160   101.178    102946140.000     0.000     0.000  2750.000      00  109982
     5.000    -3.637   113.109    115814407.500     0.000     0.000  2750.000      00  109982
     5.000    -4.591   136.496    141550942.500     0.000     0.000  2750.000      00  109982
     5.000    -5.068   147.952    154419210.000     0.000     0.000  2750.000      00  109982
     5.000    -5.545   159.249    167287477.500     0.000     0.000  2750.000      00  109982
     5.000    -6.022   170.389    180155745.000     0.000     0.000  2750.000      00  109982
     5.000    -6.976   192.188    205892280.000     0.000     0.000  2750.000      00  109982
     5.000    -7.929   213.342    231601837.500     0.000     0.000  2750.000      00  109982
     5.000    -8.883   233.886    257338372.500     0.000     0.000  2750.000      00  109982
     5.000    -9.837   253.800    283074907.500     0.000     0.000  2750.000      00  109982
     5.000   -10.874   274.731    311050575.000     0.000     0.000  2750.000      00  109982
     5.000   -11.745   294.367    335402428.500     0.000     0.000  2850.000      00  109982
     5.000   -12.699   315.663    362074837.500     0.000     0.000  2850.000      00  109982
     5.000   -13.653   336.740    388747246.500     0.000     0.000  2850.000      00  109982
     5.000   -15.561   378.237    442092064.500     0.000     0.000  2850.000      00  109982
     5.000   -17.469   418.863    495436882.500     0.000     0.000  2850.000      00  109982
     5.000   -19.377   458.616    548781700.500     0.000     0.000  2850.000      00  109982
     5.000   -21.000   491.745    594158346.000     0.000     0.000  2850.000      00  109982
     5.000   -23.193   538.054    657622669.500     0.000     0.000  2950.000      00  109982
     5.000   -25.100   577.906    712810296.000     0.000     0.000  2950.000      00  109982
     5.000   -27.008   617.444    768026862.000     0.000     0.000  2950.000      00  109982
     5.000   -28.916   656.614    823243428.000     0.000     0.000  2950.000      00  109982
     5.000   -30.824   695.419    878459994.000     0.000     0.000  2950.000      00  109982
     5.000   -32.001   719.176    912521785.500     0.000     0.000  2950.000      00  109982
     5.000   -34.640   744.351    997966046.078     7.946     4.536  3299.971      96    8545
     5.000   -37.502   771.274   1090605749.692     7.941     4.528  3298.899      96    9150
     5.000   -40.364   798.008   1183230178.776     7.939     4.521  3298.521      96   10055
     5.000   -43.225   824.490   1275818982.645     7.949     4.518  3298.964      96   10961
     5.000   -46.087   850.554   1368551668.171     7.956     4.517  3306.765      96   11566
     5.000   -48.949   876.248   1461408689.004     7.965     4.515  3307.335      96   12471
     5.000   -51.811   901.629   1554271118.950     7.957     4.506  3307.464      96   13075
     5.000   -54.673   926.691   1647138091.668     7.963     4.502  3307.683      96   13980
     5.000   -57.535   951.425   1740005561.512     7.955     4.493  3307.466      96   14585
     5.000   -60.396   975.893   1832839923.792     7.958     4.488  3307.587      96   15490
     5.000   -63.258  1000.099   1925728856.025     7.964     4.485  3308.955      96   16094
     5.000   -66.120  1024.069   2018653931.765     7.965     4.478  3309.709      96   16999
     5.000   -70.890  1063.521   2173544274.071     7.958     4.465  3309.998      96   18207
     5.000   -75.659  1102.210   2328440755.044     7.963     4.458  3311.082      96   19714
     5.000   -80.429  1140.082   2483376745.408     7.953     4.444  3310.983      96   20921
     5.000   -85.199  1176.924   2638352346.409     7.949     4.428  3312.425      96   22129
     5.000   -89.969  1212.378   2793380007.202     7.952     4.422  3313.141      96   23335
     5.000   -94.738  1246.036   2948431252.585     7.948     4.408  3314.612      96   24842
     5.000   -99.508  1277.568   3103562128.013     7.941     4.396  3315.758      96   26048
     5.000  -106.545  1320.000   3332540873.557     7.940     4.381  3317.913      96   27856
     5.000  -109.047  1325.004   3413959598.708     7.987     4.404  3318.117      99   27425
     5.000  -113.817  1334.544   3569340379.926     8.003     4.408  3322.627      99   28928
     5.000  -118.587  1344.084   3724912270.689     8.011     4.409  3326.604      99   30131
     5.000  -123.357  1353.624   3880672138.016     8.024     4.411  3330.512      99   31334
     5.000  -128.126  1363.162   4036593292.772     8.043     4.418  3334.751      99   32836
     5.000  -132.896  1372.702   4192729080.272     8.048     4.415  3338.586      99   34039
     5.000  -137.666  1382.242   4349043049.126     8.060     4.418  3342.267      99   35242
     5.000  -142.435  1391.780   4505509620.348     8.076     4.422  3346.355      99   36745
     5.000  -147.205  1400.312   4662188929.549     8.085     4.425  3350.206      99   37947
     5.000  -151.975  1402.571   4819067657.188     8.100     4.430  3354.722      99   39148
     5.000  -156.745  1404.829   4976170373.020     8.121     4.439  3359.627      99   40649
     5.000  -161.514  1407.087   5133452215.726     8.135     4.446  3364.055      99   41849
     5.000  -166.284  1409.346   5290977510.328     8.148     4.450  3368.464      99   43050
     5.000  -171.054  1411.604   5448721624.609     8.170     4.461  3373.258      99   44550
     5.000  -175.823  1413.862   5606640100.263     8.178     4.462  3377.587      99   45751
     5.000  -180.593  1416.120   5764807981.147     8.198     4.470  3382.338      99   47252
     5.000  -185.363  1418.379   5923182323.759     8.211     4.477  3386.660      99   48452
     5.000  -190.133  1420.637   6081762517.897     8.225     4.482  3390.975      99   49653
     5.000  -194.902  1422.895   6240524149.166     8.242     4.490  3395.673      99   51154
     5.000  -199.672  1425.153   6399523622.113     8.255     4.495  3399.956      99   52354
     5.000  -204.442  1427.412   6558735106.901     8.269     4.501  3404.578      99   53855
     5.000  -209.211  1429.670   6718117541.091     8.280     4.505  3408.906      99   55056
     5.000  -213.981  1431.928   6877747966.240     8.300     4.514  3413.587      99   56556
     5.000  -218.751  1434.186   7037582903.726     8.308     4.516  3417.861      99   57757
     5.000  -228.290  1438.703   7357845867.698     8.338     4.529  3426.815      99   60458
     5.000  -237.830  1443.220   7678983738.795     8.362     4.539  3435.876      99   63160
     5.000  -247.369  1447.736   8000936727.402     8.390     4.551  3444.985      99   65861
     5.000  -256.909  1452.253   8323783912.722     8.416     4.562  3454.282      99   68562
     5.000  -266.448  1456.769   8647473337.976     8.438     4.569  3463.721      99   71264
     5.000  -275.987  1461.285   8972050281.218     8.464     4.581  3473.253      99   73965
     5.000  -285.527  1465.802   9297582510.897     8.487     4.592  3483.394      99   76666
     5.000  -290.297  1468.060   9460703026.132     8.495     4.595  3488.399      99   77867
     5.000  -295.066  1470.318   9624038109.090     8.510     4.601  3493.845      99   79368
     5.000  -299.836  1472.577   9787654522.105     8.520     4.606  3499.132      99   80568
     5.000  -304.606  1474.835   9951539128.202     8.532     4.610  3505.134      99   82069
     5.000  -314.145  1479.351  10280272333.131     8.525     4.630  3520.767      99   84770
     5.000  -323.685  1483.868  10610255707.304     8.550     4.636  3530.834      99   87472
     5.000  -333.224  1488.384  10941168703.830     8.582     4.648  3541.447      99   90473
     5.000  -342.763  1492.901  11273064200.122     8.605     4.655  3552.026      99   93174
     5.000  -352.303  1497.418  11605988810.990     8.633     4.663  3562.628      99   95875
     5.000  -361.842  1501.934  11939763472.749     8.657     4.672  3570.798      99   98577
     5.000  -371.382  1506.451  12274346163.449     8.686     4.685  3579.123      99  101578
     5.000  -380.921  1510.967  12609654835.881     8.707     4.695  3587.270      99  104279
     5.000  -390.461  1515.484  12945765649.720     8.731     4.705  3595.429      99  106981
     5.000  -400.000  1520.000  13282622228.527     8.759     4.719  3603.857      99  109982
    10.000     0.193    13.204     12868267.500     0.000     0.000  2750.000      00  109982
    10.000    -0.761    39.128     38604802.500     0.000     0.000  2750.000      00  109982
    10.000    -1.238    51.849     51473070.000     0.000     0.000  2750.000      00  109982
    10.000    -1.825    67.282     67308862.500     0.000     0.000  2750.000      00  109982
    10.000    -2.192    76.811     77209605.000     0.000     0.000  2750.000      00  109982
    10.000    -2.669    89.054     90077872.500     0.000     0.000  2750.000      00  109982
    10.000    -3.146   101.137    102946140.000     0.000     0.000  2750.000      00  109982
    10.000    -3.623   113.063    115814407.500     0.000     0.000  2750.000      00  109982
    10.000    -4.577   136.438    141550942.500     0.000     0.000  2750.000      00  109982
    10.000    -5.054   147.888    154419210.000     0.000     0.000  2750.000      00  109982
    10.000    -5.531   159.181    167287477.500     0.000     0.000  2750.000      00  109982
    10.000    -6.008   170.315    180155745.000     0.000     0.000  2750.000      00  109982
    10.000    -6.962   192.111    205892280.000     0.000     0.000  2750.000      00  109982
    10.000    -7.916   213.277    231628815.000     0.000     0.000  2750.000      00  109982
    10.000    -8.870   233.813    257365350.000     0.000     0.000  2750.000      00  109982
    10.000    -9.824   253.720    283101885.000     0.000     0.000  2750.000      00  109982
